x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,value,Timestamp
0,3,3,3,2,0,3,0,3,0,2,1,1.1102230246251565e-16,247
0,2,1,1,1,2,1,0,3,2,0,0,-1.1102230246251565e-16,250
2,2,3,1,2,1,2,3,0,2,3,0,1.1102230246251565e-16,252
0,0,2,0,0,1,1,2,0,1,2,3,0.9999999999999996,254
3,0,2,2,1,3,0,0,0,3,3,1,-2.220446049250313e-16,256
2,0,3,0,1,2,0,0,3,3,2,0,0.7071067811865474,259
0,2,2,1,2,2,3,3,2,1,0,3,2.7755575615628914e-16,261
1,0,1,1,2,0,0,1,3,2,1,3,-0.7071067811865475,263
1,2,2,1,0,3,0,1,1,0,2,3,0.0,265
0,0,0,1,2,3,1,1,0,3,1,2,2.7755575615628914e-16,267
3,2,0,0,1,3,1,0,3,1,3,1,-5.551115123125783e-17,270
0,2,3,0,0,2,1,1,1,0,2,0,-1.1102230246251565e-16,272
3,2,1,3,1,3,3,1,1,2,0,2,0.7071067811865476,274
3,1,2,0,2,3,3,3,0,3,3,0,0.0,276
3,2,0,2,2,1,0,1,3,1,2,2,-2.3592239273284576e-16,279
2,3,3,0,2,3,3,3,0,3,1,1,-1.1102230246251565e-16,281
0,3,3,0,3,1,0,0,3,2,3,1,1.6653345369377348e-16,283
3,3,3,2,0,1,1,2,3,2,1,3,5.551115123125783e-17,285
2,3,2,3,0,2,3,2,3,3,1,0,5.551115123125783e-17,287
2,1,1,3,3,3,1,1,3,2,1,2,-0.7071067811865472,290
3,3,1,3,0,0,0,0,1,3,2,0,-1.1102230246251565e-16,292
0,2,2,3,0,3,0,1,1,2,0,3,5.551115123125783e-17,294
0,0,3,0,3,2,1,0,0,3,2,1,0.0,297
0,2,2,0,2,3,2,1,2,3,1,3,1.1102230246251565e-16,299
2,2,1,2,1,1,1,1,1,2,2,0,0.7071067811865475,301
1,1,1,0,2,0,2,3,1,1,0,2,-0.9999999999999998,303
2,0,0,1,2,0,0,2,2,3,2,3,1.1102230246251565e-16,305
0,3,2,0,0,0,3,2,3,2,1,2,-2.220446049250313e-16,307
0,0,0,1,3,0,1,0,1,2,0,1,1.1102230246251565e-16,310
1,0,0,1,0,1,2,2,1,1,0,1,3.3306690738754696e-16,312
3,1,0,1,2,3,3,0,3,3,2,3,-0.5,314
1,2,0,2,0,3,0,3,3,3,1,2,-2.220446049250313e-16,316
3,0,1,3,0,3,3,1,1,3,3,0,0.0,319
0,0,2,1,0,2,1,2,3,1,0,0,5.551115123125783e-17,321
1,1,3,0,2,3,3,2,1,1,2,3,0.9999999999999997,323
1,1,2,3,2,1,3,1,3,3,2,2,3.0531133177191805e-16,325
1,2,3,1,2,2,1,2,3,2,0,1,-0.9999999999999998,327
2,0,1,2,2,0,1,2,2,2,3,2,1.0,330
0,0,3,0,2,1,1,3,3,3,2,2,1.1102230246251565e-16,332
3,3,0,3,1,0,3,0,2,3,2,0,1.0,334
2,3,3,3,0,2,1,1,2,2,1,1,-1.6653345369377348e-16,336
0,2,2,3,0,1,2,2,3,0,3,3,1.1102230246251565e-16,338
1,0,0,1,3,0,1,0,3,2,0,2,6.548161810916602e-33,341
2,3,3,1,0,3,2,1,2,2,1,1,0.0,343
2,2,3,2,3,1,0,3,0,0,1,2,-5.551115123125783e-17,345
2,2,0,2,1,2,3,3,1,3,1,3,1.6653345369377348e-16,347
2,3,3,3,3,2,2,2,0,0,2,1,1.6653345369377348e-16,350
3,2,2,1,2,0,2,3,3,1,1,1,-1.1102230246251565e-16,352
3,1,0,2,2,0,3,1,2,1,0,1,1.6653345369377348e-16,354
3,2,3,2,0,0,3,3,1,0,1,3,0.7071067811865468,356
1,2,2,2,1,0,3,2,0,3,0,1,0.4999999999999998,359
0,2,1,1,1,3,1,0,3,1,3,3,4.163336342344337e-16,361
3,2,1,2,0,2,0,2,1,3,1,3,-1.1102230246251565e-16,363
1,3,1,2,1,0,2,2,2,3,3,3,-0.5,365
2,1,3,1,1,3,1,2,0,1,1,0,5.551115123125783e-17,368
0,2,3,0,0,3,2,1,2,3,1,2,-2.7755575615628914e-16,370
0,3,1,2,0,3,0,0,0,2,3,2,-0.9999999999999996,372
2,2,2,2,3,3,3,0,3,3,3,2,-2.7755575615628914e-17,374
1,0,3,0,2,2,0,1,1,1,2,2,-2.7755575615628914e-16,376
3,0,3,0,0,1,0,0,3,2,0,2,-0.7071067811865476,378
0,3,0,0,1,1,0,3,0,2,3,2,-1.0,381
1,1,1,0,3,3,0,3,1,1,2,3,0.49999999999999994,383
1,2,3,0,0,1,1,1,0,1,2,1,1.1102230246251565e-16,385
0,1,3,2,0,3,1,3,2,3,3,0,-2.220446049250313e-16,388
1,3,0,3,0,1,2,3,0,0,1,0,-2.220446049250313e-16,390
3,0,1,2,0,0,2,2,1,0,2,2,-4.996003610813204e-16,393
1,3,2,3,1,1,2,3,0,0,3,0,-4.163336342344337e-17,395
2,3,3,1,1,3,3,1,1,1,3,2,-3.3306690738754696e-16,397
3,0,3,0,3,2,1,1,3,3,0,3,-0.7071067811865477,399
3,0,0,1,0,3,3,1,1,1,3,1,1.1102230246251565e-16,401
0,3,1,0,1,1,2,1,3,1,3,3,-0.9999999999999992,403
0,0,0,2,3,1,2,2,1,3,1,3,0.7071067811865469,405
0,1,3,2,2,2,3,2,3,1,2,2,-1.8041124150158794e-16,408
3,0,2,2,0,2,3,3,3,2,0,3,1.0,410
3,0,0,0,0,2,0,0,3,2,1,3,-0.7071067811865471,412
0,3,1,3,3,0,0,1,2,2,3,2,1.6653345369377348e-16,414
3,2,0,2,2,2,2,2,2,3,2,3,5.551115123125783e-17,417
2,3,1,0,1,3,2,0,2,2,0,3,-0.7071067811865475,419
0,0,1,1,2,2,2,1,1,0,2,1,1.1102230246251565e-16,421
3,3,2,1,1,2,2,0,1,1,3,3,2.220446049250313e-16,423
1,0,3,1,1,0,3,1,1,3,2,1,1.6653345369377348e-16,426
1,3,0,3,0,2,0,2,2,0,0,2,-5.551115123125783e-17,428
0,3,3,2,2,2,2,1,2,1,3,0,-0.7071067811865477,430
0,1,1,3,0,3,3,0,1,1,3,2,1.1102230246251565e-16,432
2,2,1,3,0,0,1,0,0,3,3,0,2.220446049250313e-16,434
1,0,2,3,3,3,2,1,3,2,0,1,-0.707106781186547,436
1,1,0,3,2,1,3,0,0,3,1,1,-0.49999999999999994,439
0,2,2,1,3,3,0,3,2,2,1,0,1.1102230246251565e-16,441
2,3,2,0,1,3,1,2,3,1,1,2,-3.3306690738754696e-16,443
1,3,0,0,1,3,3,1,3,3,2,1,0.4999999999999999,445
0,2,3,3,2,1,2,3,0,3,3,3,-3.3306690738754696e-16,447
1,1,2,0,0,2,3,2,2,1,1,3,-1.1102230246251565e-16,449
3,2,2,3,3,2,1,2,0,1,1,3,0.7071067811865475,452
0,2,0,3,3,3,1,2,2,0,2,2,1.6653345369377348e-16,454
3,1,2,3,0,1,3,3,1,3,0,3,-2.7755575615628914e-16,456
3,2,0,1,3,1,2,3,0,2,2,3,-5.551115123125783e-17,458
2,2,3,1,1,3,2,3,3,0,0,1,1.1102230246251565e-16,460
3,3,1,2,3,0,1,0,2,0,0,0,5.551115123125783e-17,462
1,3,2,2,3,3,2,3,1,2,0,0,-1.1102230246251565e-16,465
3,2,0,2,0,3,0,3,3,0,1,0,1.1102230246251565e-16,467
3,0,3,2,2,0,1,2,0,2,2,0,-7.498798913309288e-33,469
0,3,2,1,0,3,3,1,2,1,2,3,0.7071067811865468,471
0,1,0,2,1,3,3,1,2,3,1,0,-1.1102230246251565e-16,473
3,1,2,1,0,3,2,2,0,0,3,3,2.220446049250313e-16,475
0,0,1,2,1,2,3,3,3,2,0,0,2.7755575615628914e-16,478
2,3,0,2,3,3,1,3,2,1,2,3,-1.6653345369377348e-16,480
0,3,0,0,3,2,1,1,1,0,1,0,0.5,482
3,2,3,1,3,1,2,3,3,2,3,0,-5.551115123125783e-17,484
0,3,3,2,1,3,2,0,3,2,0,2,0.0,486
1,1,3,0,2,3,3,0,0,3,2,2,-1.1102230246251565e-16,489
1,1,0,3,3,0,2,2,2,0,0,1,-5.551115123125783e-17,491
0,0,1,1,3,0,0,0,3,0,0,1,1.6653345369377348e-16,493
0,2,1,0,2,1,2,0,0,1,1,3,-0.7071067811865468,495
1,1,0,3,0,3,3,0,0,3,3,3,-1.1102230246251565e-16,497
3,2,0,2,0,1,0,1,1,3,0,3,0.0,499
0,3,1,2,0,1,1,3,2,0,2,3,0.707106781186547,501
3,0,0,0,0,0,0,0,2,2,2,2,1.1102230246251565e-16,503
1,0,3,3,1,1,0,2,1,1,1,1,-1.6653345369377343e-16,505
1,2,0,1,2,3,2,1,0,3,2,3,0.0,508
1,2,3,1,3,2,2,3,1,3,2,1,5.551115123125783e-17,510
0,2,1,1,0,2,0,0,2,1,0,0,1.1102230246251565e-16,512
0,1,0,1,1,2,0,0,2,1,2,1,0.4999999999999998,514
2,0,1,1,3,2,3,3,3,2,1,1,-1.1102230246251565e-16,517
2,3,0,3,0,2,3,0,3,0,1,1,0.0,519
0,1,3,1,1,2,0,0,2,0,1,3,-1.1102230246251565e-16,521
2,2,0,2,1,1,1,2,0,3,3,2,3.3306690738754696e-16,523
1,0,0,2,2,1,0,3,2,1,2,2,3.3306690738754696e-16,525
2,2,1,0,1,2,1,3,3,0,3,2,-3.885780586188048e-16,527
1,2,1,2,2,3,0,3,1,2,3,3,1.249000902703301e-16,529
1,3,0,1,2,3,3,2,0,2,2,1,0.0,531
0,1,1,1,3,3,3,2,3,0,1,1,0.9999999999999997,533
3,0,1,3,1,3,1,3,0,2,3,0,5.551115123125783e-17,536
1,1,0,2,3,3,1,1,2,3,0,2,-1.6653345369377348e-16,538
2,0,2,2,3,1,3,0,1,3,2,0,0.707106781186547,540
0,1,1,0,0,1,0,2,1,0,1,2,0.0,542
0,3,2,3,1,3,1,1,3,1,0,1,3.885780586188048e-16,544
2,1,1,1,0,2,0,3,0,2,3,1,3.3306690738754696e-16,546
3,3,3,1,2,3,3,2,1,3,3,2,-1.6653345369377348e-16,549
0,0,0,0,2,0,0,0,1,1,1,2,-5.551115123125783e-17,551
0,0,1,2,2,2,3,1,0,0,1,2,1.0,553
0,2,1,0,2,1,3,2,2,3,3,2,0.9999999999999998,555
2,1,3,2,3,1,2,0,3,0,3,3,-1.1102230246251565e-16,557
2,3,0,2,1,1,3,0,1,0,1,0,5.551115123125783e-17,560
1,1,2,1,2,2,1,0,1,0,3,3,5.551115123125783e-17,562
1,3,2,3,2,2,2,1,0,1,2,2,-0.7071067811865472,564
0,0,3,2,3,3,1,0,0,0,0,0,1.1102230246251565e-16,566
3,0,3,0,0,1,1,1,2,3,3,1,-2.220446049250313e-16,568
1,0,2,0,3,1,3,0,2,2,0,1,1.6653345369377348e-16,570
2,1,0,2,2,2,0,1,1,3,3,3,0.0,572
3,0,2,0,0,0,1,1,3,1,1,0,-1.3877787807814457e-17,574
1,3,3,3,2,1,3,1,2,2,2,2,1.1102230246251565e-16,577
2,2,1,0,2,0,0,1,0,1,1,3,-1.1102230246251565e-16,579
3,3,1,0,2,1,3,3,1,3,1,3,0.7071067811865472,581
2,3,3,1,1,2,0,2,0,1,3,0,-2.220446049250313e-16,583
3,2,3,2,1,2,2,3,3,0,2,1,-2.7755575615628914e-16,586
3,3,1,2,3,0,1,0,0,2,2,3,0.0,588
0,2,2,1,2,1,2,0,1,0,2,0,0.0,590
3,3,2,1,1,0,3,1,2,3,0,3,-2.7755575615628914e-16,592
0,2,3,3,3,1,2,3,2,0,2,3,-1.1102230246251565e-16,594
1,3,2,3,1,3,0,1,0,2,1,3,2.728640153452453e-32,596
3,1,0,3,0,3,3,0,0,2,1,3,-0.7071067811865476,598
0,1,2,3,0,2,1,2,0,3,1,0,-0.7071067811865472,601
3,1,2,0,3,2,2,2,0,3,3,1,-0.49999999999999956,603
2,3,3,3,2,3,1,3,0,1,3,3,0.9999999999999996,605
0,1,1,2,0,0,0,0,1,1,1,3,6.1629758220391534e-33,607
3,0,2,3,3,1,2,2,2,3,1,0,-2.220446049250313e-16,666
3,3,1,2,0,1,3,0,1,0,3,3,-1.1102230246251565e-16,668
2,2,0,0,0,0,3,0,1,0,3,1,-1.1102230246251565e-16,670
1,3,3,3,1,0,0,2,0,1,0,2,-2.220446049250313e-16,673
0,0,3,1,3,0,2,1,2,3,3,0,-1.1102230246251565e-16,675
3,2,1,1,3,3,2,3,0,0,2,3,0.0,677
1,1,2,3,0,3,0,1,0,0,3,2,-2.7755575615628914e-16,680
1,0,1,3,1,3,3,3,2,2,2,3,2.0816681711721685e-16,682
3,2,1,1,0,3,3,2,2,1,2,3,-0.9999999999999998,684
2,2,3,3,0,3,0,0,2,0,3,1,-1.6653345369377348e-16,686
0,1,2,0,0,3,2,3,0,2,2,0,-0.7071067811865474,689
1,3,2,2,1,1,1,1,0,0,2,3,-0.9999999999999997,691
0,0,3,1,3,1,3,3,3,1,2,2,2.7755575615628914e-16,693
1,3,3,1,1,2,2,3,2,0,3,2,-1.942890293094024e-16,695
3,0,1,0,3,0,2,2,2,1,3,3,0.9999999999999998,697
1,3,3,0,0,1,1,0,1,3,1,3,-0.707106781186547,699
1,3,3,3,3,3,0,0,1,3,3,0,0.7071067811865474,702
0,2,1,2,3,1,3,2,1,0,1,2,1.8041124150158794e-16,704
3,0,1,1,0,1,1,1,2,0,1,1,0.0,706
1,3,1,2,1,0,3,0,1,1,1,0,-0.7071067811865476,708
0,2,2,3,2,3,0,2,2,3,1,2,-1.1102230246251565e-16,710
2,1,1,0,0,2,3,0,0,1,0,0,0.7071067811865477,712
2,3,2,1,0,0,0,0,2,0,2,0,-1.1102230246251565e-16,714
3,1,0,1,3,0,2,2,3,1,1,3,-2.7755575615628914e-16,717
3,2,2,1,1,3,2,3,3,2,2,3,0.7071067811865472,719
0,1,0,0,3,0,0,0,1,0,2,0,0.0,721
3,1,2,3,3,1,2,1,2,2,0,1,5.551115123125783e-17,723
0,3,0,0,0,2,3,0,3,0,2,0,0.0,725
0,0,0,1,2,2,2,3,0,0,2,3,0.9999999999999998,727
3,3,1,0,1,2,3,1,2,1,3,0,-2.775557561562892e-16,730
1,0,2,0,3,2,2,1,1,0,1,1,-1.1102230246251565e-16,732
3,2,3,2,0,2,2,1,3,0,3,0,0.9999999999999996,734
3,2,1,2,3,0,1,3,1,3,2,3,0.7071067811865475,737
0,3,3,0,1,0,2,3,3,2,0,0,-6.938893903907228e-17,739
0,0,0,0,3,1,1,2,0,0,3,2,-2.220446049250313e-16,741
1,0,3,0,3,2,3,1,0,2,1,0,5.551115123125783e-17,743
1,2,0,3,1,2,3,0,3,1,3,0,-2.0816681711721685e-16,745
2,3,3,0,0,2,2,3,2,1,2,0,0.9999999999999996,747
0,0,0,2,3,1,2,3,0,3,0,1,-0.7071067811865475,760
2,1,3,1,0,2,1,1,0,2,3,1,6.106226635438361e-16,777
3,3,0,1,2,2,0,2,3,2,1,1,1.1102230246251565e-16,783
3,2,3,3,0,1,3,1,0,2,1,1,-1.1102230246251565e-16,788
3,1,3,2,3,3,0,1,0,0,0,0,-0.7071067811865477,790
2,3,3,1,1,3,2,2,0,1,0,2,2.7755575615628914e-16,793
3,1,0,2,0,1,1,1,2,3,1,3,0.0,796
1,2,1,3,2,0,1,3,2,1,0,3,1.6653345369377348e-16,798
0,3,3,0,0,0,1,3,2,2,1,2,1.874699728327321e-33,800
3,1,1,0,2,2,3,1,2,1,0,3,5.551115123125783e-17,802
0,0,2,2,2,2,1,0,3,3,1,0,-5.551115123125783e-17,804
0,1,1,1,2,3,2,0,3,3,0,3,1.1102230246251565e-16,806
0,0,0,1,1,3,0,3,1,0,2,1,0.7071067811865474,809
0,3,2,1,0,0,1,3,1,2,0,3,-5.551115123125783e-17,811
1,0,3,1,0,3,3,3,1,0,2,2,2.220446049250313e-16,813
1,0,1,1,3,3,1,2,1,2,2,0,0.0,815
0,2,2,2,1,0,3,1,0,0,3,2,1.0,818
2,0,1,3,2,3,2,0,3,3,1,2,-6.106226635438361e-16,820
0,2,3,0,0,3,3,0,2,3,2,0,-0.9999999999999996,822
1,0,0,1,0,2,0,1,2,0,3,2,1.1102230246251565e-16,824
2,1,1,2,1,2,2,2,0,2,2,0,1.6653345369377348e-16,826
2,2,2,2,1,1,1,3,1,1,2,0,3.3306690738754696e-16,829
2,0,1,2,1,2,0,2,1,0,3,0,-1.6653345369377348e-16,831
2,0,0,0,3,2,0,2,1,2,2,2,1.6653345369377348e-16,833
2,3,3,3,3,0,2,2,3,1,0,3,-1.0,835
0,3,3,3,1,2,3,0,2,3,3,0,5.551115123125783e-17,837
0,1,0,3,1,1,2,1,3,0,1,3,0.0,840
3,3,1,2,0,1,3,1,3,2,3,1,-3.3306690738754696e-16,842
3,2,0,1,0,1,0,1,0,0,0,3,5.551115123125783e-17,844
1,3,1,1,2,0,2,2,3,1,3,2,3.469446951953614e-16,846
0,1,3,1,3,2,2,1,3,0,3,2,-2.7755575615628914e-16,848
0,3,0,1,0,2,1,3,2,0,1,1,-2.7755575615628914e-16,851
0,1,0,2,2,2,0,3,3,1,3,0,1.6653345369377348e-16,853
1,2,1,2,0,3,0,0,1,2,2,0,0.7071067811865472,855
3,2,0,0,0,1,0,1,1,0,0,0,-0.7071067811865471,857
0,2,2,2,2,3,1,0,2,2,2,2,-2.220446049250313e-16,859
0,1,3,3,2,0,3,2,3,3,2,2,-1.1102230246251565e-16,861
